"company_name","url","category","tools"
"Perfect Keto","https://www.1800d2c.com//brand/perfect-keto","Food","Heading 
Dovetale 
Sendgrid 
Postscript 
Yotpo 
Algolia 
Heading 
Returnly 
Hotjar 
Visual Website Optimizer 
Kinsta 
Shogun 
Typeform 
Friendbuy 
HelpDocs 
JustUno 
Gorgias 
Shopify 
Klaviyo 
Outbrain 
Back in Stock 
Shopify Plus 
Refersion 
Afterpay 
Octane AI 
Unbounce 
GRIN 
"
"Puracy","https://www.1800d2c.com//brand/puracy","Home","Heading 
Rebuy 
Triple Whale 
Heading 
Zendesk 
Stamped 
Refersion 
Shopify 
Klaviyo 
Heading 
ShareASale 
AddShoppers 
Lucky Orange 
"
"Mylee","https://www.1800d2c.com//brand/mylee","Personal Care","Heading 
Videowise 
Triple Whale 
Heading 
Referral Candy 
Teads 
Zendesk 
Octane AI 
Yotpo 
Shopify 
Klarna 
Hotjar 
Klaviyo 
Clearpay 
Outbrain 
Yieldify 
"
"The Muse","https://www.1800d2c.com//brand/the-muse","Apparel","Moda 
Shopify 
Judge Me 
Heading 
Omnisend 
MailChimp 
Lucky Orange 
"
"YourLibaas","https://www.1800d2c.com//brand/yourlibaas","Apparel","Moda 
Searchanise 
WhatsApp 
Heading 
Littledata 
Stamped 
Shopify 
Algolia 
Bold Commerce 
Hotjar 
Elfsight 
Omnisend 
Heading 
Privy 
"
"Bombay Island Coffee","https://www.1800d2c.com//brand/bombay-island-coffee","Beverage","Moda 
Shopify 
Netlify 
Heading 
Judge Me 
"
"Red Moose","https://www.1800d2c.com//brand/red-moose","Lifestyle","Superfiliate 
Fondue 
Postscript 
Shopify 
Triple Whale 
Inveterate 
Gorgias 
Okendo 
"
"Haven Athletic","https://www.1800d2c.com//brand/haven-athletic","Apparel","Junip 
Rebuy 
Dovetale 
Northbeam 
Webflow 
Postscript 
Shopify 
Klaviyo 
Unbounce 
PostHog 
Snowplow 
"
"waterdrop","https://www.1800d2c.com//brand/waterdrop","Beverage",""
"Caraa","https://www.1800d2c.com//brand/caraa","Apparel","Triple Whale 
Growave 
Contentful 
Attentive 
Kustomer 
Okendo 
Shopify 
Hotjar 
Klaviyo 
Heading 
FullStory 
Talkable 
Next.js 
QuadPay 
"
"Urth","https://www.1800d2c.com//brand/urth","Lifestyle","WisePops 
Active Campaign 
Gorgias 
Foursixty 
Afterpay 
Okendo 
Heading 
Shopify 
Shopify Plus 
Klaviyo 
Hotjar 
Impact 
Sanity 
Next.js 
Aftership 
"
"Red Ball Jets","https://www.1800d2c.com//brand/red-ball-jets","Apparel","Dovetale 
Shopify 
Yotpo 
Heading 
Klaviyo 
Back in Stock 
ShareASale 
"
"Gantri","https://www.1800d2c.com//brand/gantri","Home","Next.js 
Mixpanel 
Zendesk 
Klaviyo 
Intercom 
Affirm 
Sendgrid 
Segment 
Algolia 
Amplitude 
Netlify 
MailChimp 
Vercel 
"
"Drake's","https://www.1800d2c.com//brand/drake-s","Apparel","Swap 
Global-e 
Foursixty 
Shopify 
Trustpilot 
Nice 
Back in Stock 
Ometria 
"
"LSKD","https://www.1800d2c.com//brand/lskd","Apparel","Status 
Tolstoy 
Tapcart 
Sendgrid 
Yotpo 
Hotjar 
Shogun 
Carro 
pushowl 
Instant Search Plus 
Gorgias 
SMSBump 
Shopify 
Klaviyo 
Yottaa 
Back in Stock 
Refersion 
Afterpay 
Rise.ai 
Klarna 
Nosto 
"
"Wisp","https://www.1800d2c.com//brand/wisp","Health & Wellness","RockerBox 
GRIN 
Contentful 
Gatsby JS 
Help Scout 
Netlify 
UpSellit 
SpeedCurve 
Klaviyo 
"
"Vivobarefoot","https://www.1800d2c.com//brand/vivobarefoot","Apparel","Bloomreach 
Global-e 
Zendesk 
Trustpilot 
Hotjar 
Klarna 
Affiliate Window 
HERO 
Narvar 
Magento 
Braintree 
"
"Brewdog","https://www.1800d2c.com//brand/brewdog","Beverage","Bloomreach 
Sendgrid 
Contentful 
Afterpay 
Hotjar 
Visual Website Optimizer 
Netlify 
Affiliate Window 
Strava 
Typeform 
Next.js 
Segment 
Vercel 
"
"Monty's","https://www.1800d2c.com//brand/monty-s","Food","GRIN 
Heading 
Bold Commerce 
Yotpo 
Covet Pics 
Shopify 
Bold Bundles 
Klaviyo 
"
"ILIA","https://www.1800d2c.com//brand/ilia","Personal Care","Tresl 
Dovetale 
Nacelle 
Yotpo 
Vercel 
Heading 
Returnly 
Zendesk 
Attentive 
Okendo 
Elevar 
Tatari 
Contentful 
Gorgias 
Shopify 
Klaviyo 
Impact 
Afterpay 
Heading 
Rise.ai 
FullStory 
GRIN 
"
"Sol de Janeiro","https://www.1800d2c.com//brand/sol-de-janeiro","Personal Care","Tresl 
Yotpo 
Heading 
route 
Yieldify 
AddShoppers 
WooCommerce 
MailChimp 
Heading 
Hotjar 
Persistent Cart 
Listrak 
Gorgias 
Shopify 
Podsights 
Klaviyo 
Shopify Plus 
SearchSpring 
Afterpay 
FullStory 
GRIN 
"
"Roam","https://www.1800d2c.com//brand/roam","Personal Care","Hotjar 
Klaviyo 
Affiliate Window 
Next.js 
Segment 
Vercel 
"
"MOSH","https://www.1800d2c.com//brand/mosh","Food","Klaviyo 
Typeform 
Shopify Plus 
Okendo 
Gorgias 
Heading 
Attentive 
Triple Whale 
"
"Rachel Comey","https://www.1800d2c.com//brand/rachel-comey","Apparel","Global-e 
Triple Whale 
Recurate 
Shopify Plus 
Heading 
Afterpay 
Shopify 
Klaviyo 
Hotjar 
HERO 
Shogun 
Back in Stock 
Kiwi Sizing 
Boost Commerce 
"
"Roark","https://www.1800d2c.com//brand/roark","Apparel","Heading 
Hotjar 
Back in Stock 
Boost Commerce 
Shogun 
GRIN 
Omnisend 
Afterpay 
Klaviyo 
Shopify 
Reamaze 
"
"Fallen Grape","https://www.1800d2c.com//brand/fallen-grape","Beverage","Heading 
Shopify 
Netlify 
Klaviyo 
"
"ONEFOLD","https://www.1800d2c.com//brand/onefold","Apparel","Tidio 
Mixpanel 
Shopify 
Pixelpop 
Klaviyo 
Cloverly 
Pixel Union 
Heading 
"
"Hexclad","https://www.1800d2c.com//brand/hexclad","Home","Klaviyo 
Attentive 
Junip 
Affiliate Window 
GRIN 
Kno 
Octane AI 
Tatari 
Rebuy 
Shopify Plus 
Northbeam 
Shopify 
Replo 
"
"Jems","https://www.1800d2c.com//brand/jems","Health & Wellness","Shopify 
MailChimp 
ShareASale 
Klaviyo 
"
"Squigs","https://www.1800d2c.com//brand/squigs","Personal Care","ShareASale 
Shopify 
Klaviyo 
Attentive 
Outbrain 
route 
Judge Me 
"
"PRIME","https://www.1800d2c.com//brand/prime","Beverage","Rebuy 
Shopify 
Rise.ai 
Klaviyo 
Segment 
"
"Ami Ami","https://www.1800d2c.com//brand/ami-ami","Beverage","Klaviyo 
Shopify 
Unbounce 
"
"Thursday Boots","https://www.1800d2c.com//brand/thursday-boots","Apparel","ChannelApe 
Zendesk 
Shopify Plus 
Shopify 
Yotpo 
Unbounce 
Klaviyo 
Klarna 
Outbrain 
Heap 
Back in Stock 
Zonos 
Jetpack 
Braintree 
"
"Gote","https://www.1800d2c.com//brand/gote","Health & Wellness","Next.js 
Sanity 
Shopify 
Vercel 
"
"HoldOn","https://www.1800d2c.com//brand/holdon","Lifestyle","Smartrr 
Peel 
Heading 
Shopify 
Okendo 
Klaviyo 
PostHog 
Elfsight 
ShareASale 
"
"Feastables","https://www.1800d2c.com//brand/feastables","Food","Okendo 
Shopify Plus 
Kustomer 
Emplifi 
Wonderment 
Postscript 
Klaviyo 
Triple Whale 
Certainly 
route 
"
"Goop","https://www.1800d2c.com//brand/goop","Personal Care","Cortina 
RudderStack 
Digioh 
Sendgrid 
Afterpay 
Kustomer 
Unbounce 
Hotjar 
Next.js 
BlueCore 
"
"Flaus","https://www.1800d2c.com//brand/flaus","Personal Care","Dovetale 
Social Snowball 
Loop 
Heading 
WisePops 
Gorgias 
Shopify Plus 
Shopify 
Yotpo 
Klaviyo 
Hotjar 
Clyde 
Typeform 
"
"Dame","https://www.1800d2c.com//brand/dame","Lifestyle","Brij 
Cortina 
Heading 
Shopify Plus 
Pixelpop 
Shopify 
Yotpo 
Nice 
Klarna 
Klaviyo 
Hotjar 
Visual Website Optimizer 
CrazyEgg 
Pixel Union 
UpSellit 
"
"Maisonette","https://www.1800d2c.com//brand/maisonette","Apparel","Kustomer 
Algolia 
Next.js 
Afterpay 
Zendesk 
SpeedCurve 
Visual Website Optimizer 
Klaviyo 
Impact 
CrazyEgg 
"
"Futurewise","https://www.1800d2c.com//brand/futurewise","Personal Care","Postscript 
Shopify Plus 
Shopify 
Klaviyo 
Okendo 
"
"Raize","https://www.1800d2c.com//brand/raize","Food","Klaviyo 
Shopify 
Prive 
Okendo 
Social Snowball 
Trackstar 
Rebuy 
Wizard 
"
"Julie","https://www.1800d2c.com//brand/julie","Health & Wellness","Gorgias 
Klaviyo 
Hotjar 
Podsights 
Shopify 
Shopify Plus 
"
"Zero Acre Farms","https://www.1800d2c.com//brand/zero-acre-farms","Food","Rebuy 
Triple Whale 
Heading 
Contentful 
Attentive 
Shopify Plus 
Okendo 
Shopify 
Elevar 
Hotjar 
Klaviyo 
Next.js 
GRIN 
Vercel 
"
"PSD","https://www.1800d2c.com//brand/psd","Apparel","Kno 
Dovetale 
Retently 
Yotpo 
Heading 
Teads 
Zendesk 
Hotjar 
Elevar 
Zonos 
Foursixty 
Shopify 
Klaviyo 
Outbrain 
Swell Rewards 
Shopify Plus 
PageFly 
Afterpay 
Octane AI 
Bold Commerce 
Signifyd 
FullStory 
Nosto 
Boost Commerce 
GRIN 
"
"Malla","https://www.1800d2c.com//brand/malla","Health & Wellness","Junip 
Rebuy 
Northbeam 
Dovetale 
Heading 
Refersion 
Shopify 
Heading 
Yotpo 
Klaviyo 
Hotjar 
Skio 
Snowplow 
"
"Brompton","https://www.1800d2c.com//brand/brompton","Lifestyle","Bloomreach 
Sendgrid 
Zendesk 
Yotpo 
Shopify 
BigCommerce 
Hotjar 
Klarna 
Magento 
Nosto 
"
"SunGod","https://www.1800d2c.com//brand/sungod","Apparel","RudderStack 
Sendgrid 
Commerce Layer 
Klaviyo 
Hotjar 
Strava 
Magento 
DatoCMS 
Vercel 
"
"Rapha","https://www.1800d2c.com//brand/rapha","Apparel","Next.js 
Zendesk 
Sendgrid 
Vercel 
SpeedCurve 
SAP Commerce Cloud 
Visual Website Optimizer 
Affiliate Window 
"
"Aneski","https://www.1800d2c.com//brand/aneski","Home","Shopify 
Next.js 
Sanity 
Klaviyo 
ShareASale 
Aspire 
Vercel 
Lumi 
Mercury 
"
"Big Green Egg","https://www.1800d2c.com//brand/big-green-egg","Home","Commerce Layer 
Zendesk 
Algolia 
Trustpilot 
DatoCMS 
Vercel 
"
"Chilly's","https://www.1800d2c.com//brand/chilly-s","Lifestyle","DatoCMS 
Trustpilot 
Vercel 
PostHog 
Commerce Layer 
Hotjar 
Mention Me 
"
"Leath","https://www.1800d2c.com//brand/leath","Lifestyle","Tolstoy 
Heading 
Gorgias 
Shopify 
Okendo 
Klaviyo 
Skio 
ShareASale 
"
"OFFHOURS","https://www.1800d2c.com//brand/offhours","Apparel","Dovetale 
Bluebird 
Gorgias 
Shopify 
Klaviyo 
Affirm 
Back in Stock 
MailChimp 
"
"Set Active","https://www.1800d2c.com//brand/set-active","Apparel","Catch 
Triple Whale 
Postscript 
route 
ShareASale 
Pixel Union 
Attentive 
Mixpanel 
Hotjar 
Segment 
Shopify 
Klaviyo 
Forter 
Afterpay 
Heading 
Rise.ai 
FullStory 
Heading 
GRIN 
"
"Moncler","https://www.1800d2c.com//brand/moncler","Apparel","Next.js 
WooCommerce 
Heading 
"
"Ice Barrel","https://www.1800d2c.com//brand/ice-barrel","Health & Wellness","OptinMonster 
WooCommerce 
Hotjar 
Klaviyo 
Stamped 
"
"Scooch","https://www.1800d2c.com//brand/scooch","Pet","Rebuy 
Bezos.ai 
One Pilot 
Dovetale 
Triple Whale 
Heading 
Gorgias 
Okendo 
Shopify 
Heading 
Klaviyo 
Hotjar 
Amplitude 
"
"Rejuvia","https://www.1800d2c.com//brand/rejuvia","Lifestyle","Parker 
Okendo 
Checkout Promotions 
Smartrr 
Alloy 
Triple Whale 
Klaviyo 
Shopify 
"
"Outstanding Foods","https://www.1800d2c.com//brand/outstanding-foods","Food","Crisp 
Northbeam 
Trackstar 
Rebuy 
Dovetale 
Sendgrid 
Postscript 
Yotpo 
Wistia 
Heading 
Zendesk 
Lucky Orange 
Hotjar 
Visual Website Optimizer 
Convert 
Shogun 
POWr 
Gorgias 
SMSBump 
Shopify 
Klaviyo 
Unbounce 
Snowplow 
GRIN 
"
"Steve Madden","https://www.1800d2c.com//brand/steve-madden","Apparel","Leap 
Cymbio 
Recurate 
Plobal Apps 
Bluebird 
Sendgrid 
Yotpo 
Algolia 
BlueCore 
Ometria 
Attentive 
Hotjar 
Matomo 
Gorgias 
ShoppingGives 
Shopify 
Klaviyo 
Back in Stock 
Shopify Plus 
Afterpay 
Klarna 
Snowplow 
"
"The Last Crumb","https://www.1800d2c.com//brand/the-last-crumb","Food","Rebuy 
Siena 
Plobal Apps 
Sendgrid 
Postscript 
Shopify 
Klaviyo 
ShareASale 
"
"Enso Rings","https://www.1800d2c.com//brand/enso-rings","Apparel","Linktree 
Measured 
RockerBox 
Plobal Apps 
Nacelle 
Sezzle 
Yotpo 
route 
Vercel 
Zendesk 
Okendo 
Hotjar 
Visual Website Optimizer 
Netlify 
Convert 
Carro 
pushowl 
POWr 
Contentful 
Foursixty 
ShoppingGives 
Shopify 
Podsights 
Klaviyo 
Prismic 
Back in Stock 
Shopify Plus 
Rise.ai 
Next.js 
Nosto 
Lucky Orange 
"
"East Fork","https://www.1800d2c.com//brand/east-fork","Home","Dovetale 
Clarity 
Zendesk 
Shopify Plus 
Shopify 
Algolia 
Okendo 
Klaviyo 
Sanity 
Mention Me 
Shogun 
Next.js 
Lucky Orange 
Pixel Union 
Vercel 
"
"Juvee","https://www.1800d2c.com//brand/juvee","Beverage","Social Snowball 
Postscript 
Shopify Plus 
Refersion 
Shopify 
Okendo 
Klaviyo 
"
"Cake Bikes","https://www.1800d2c.com//brand/cake-bikes","Lifestyle","Vercel 
Sanity 
WooCommerce 
Klarna 
Next.js 
Heading 
"
"TWOTWO","https://www.1800d2c.com//brand/twotwo","Lifestyle","Shopify 
Klarna 
Klaviyo 
Yotpo 
"
"Pasta Evangelists","https://www.1800d2c.com//brand/pasta-evangelists-a","Food","Unbounce 
Hotjar 
Algolia 
Next.js 
Zendesk 
Shopify Plus 
Netlify 
Shopify 
Klaviyo 
Trustpilot 
"
"Courtside","https://www.1800d2c.com//brand/courtside","Beverage","Junip 
Linktree 
Heading 
Shopify 
Klaviyo 
Hubspot 
"
"Miracle Brand","https://www.1800d2c.com//brand/miracle-brand","Home","Northbeam 
Fondue 
Dovetale 
Triple Whale 
Postscript 
Stamped 
Yotpo 
ManyChat 
CrazyEgg 
AddShoppers 
Talkable 
Heading 
Teads 
Attentive 
Hotjar 
Mixpanel 
Netlify 
Carro 
pushowl 
JustUno 
Gorgias 
Webflow 
Shopify 
Klaviyo 
Outbrain 
Bold UpSell 
Klarna 
Omnisend 
Snowplow 
"
"Long Wknd","https://www.1800d2c.com//brand/long-wknd","Personal Care","Rebuy 
Smartrr 
Novel 
Dovetale 
Triple Whale 
EcoCart 
Tapcart 
Littledata 
Gorgias 
Refersion 
Okendo 
Heading 
Shopify 
Octane AI 
Klaviyo 
Elevar 
Unbounce 
OptiMonk 
"
"Welly","https://www.1800d2c.com//brand/welly-7","Beverage","Smartrr 
Afterpay 
Shopify 
Okendo 
Klaviyo 
Hotjar 
"
"Lack of Color","https://www.1800d2c.com//brand/lack-of-color","Apparel","Triple Whale 
Clarity 
Sendgrid 
Shopify Plus 
Gorgias 
Afterpay 
Shopify 
Okendo 
Foursixty 
Heading 
Klaviyo 
Klarna 
Back in Stock 
ShareASale 
"
"April","https://www.1800d2c.com//brand/april","Health & Wellness","Klaviyo 
Next.js 
Zendesk 
Hotjar 
"
"Kyoot","https://www.1800d2c.com//brand/kyoot","Food","Talkable 
Yotpo 
Hotjar 
Shopify 
Klaviyo 
"
"Tecovas","https://www.1800d2c.com//brand/tecovas","Apparel","Junip 
Rebuy 
Simon Data 
Shopify Plus 
Attentive 
Shopify 
Kustomer 
SpeedCurve 
Klaviyo 
Elevar 
Outbrain 
Yottaa 
FullStory 
Back in Stock 
Tatari 
GRIN 
Privy 
"
"Hux","https://www.1800d2c.com//brand/hux","Health & Wellness","Rebuy 
Dovetale 
bodo 
Heading 
Heading 
Gorgias 
AppHQ 
Shopify 
Trustpilot 
Heading 
Hotjar 
Klaviyo 
Okendo 
Klarna 
Skio 
Heading 
"
"Little Chonk","https://www.1800d2c.com//brand/little-chonk","Pet","Tolstoy 
Webflow 
Shopify 
Yotpo 
Klaviyo 
Hotjar 
route 
Datadog 
Zonos 
Amplitude 
"
"Rains","https://www.1800d2c.com//brand/rains","Apparel","Rebuy 
Easysize 
Cymbio 
Active Campaign 
Returnly 
Zendesk 
Shopify Plus 
Shopify 
Klarna 
Klaviyo 
Back in Stock 
Sleeknote 
"
"Keeps Furniture","https://www.1800d2c.com//brand/keeps-furniture","Home","Shopify 
Klaviyo 
Okendo 
"
"Loisa","https://www.1800d2c.com//brand/loisa","Food","Junip 
Dovetale 
Clarity 
Trackstar 
Heading 
Shopify Plus 
Shopify 
Yotpo 
In Cart UpSell 
Klaviyo 
Shogun 
Back in Stock 
ShareASale 
Talkable 
"
"Reel","https://www.1800d2c.com//brand/reel","Personal Care","Flexport 
Superfiliate 
Linktree 
Rebuy 
ProfitWell 
Yotpo 
AddShoppers 
ShareASale 
Heading 
Attentive 
Hotjar 
Elevar 
PostHog 
SEO Manager 
Gorgias 
Shopify 
Klaviyo 
Shopify Plus 
Unbounce 
"
"Happy Viking","https://www.1800d2c.com//brand/happy-viking","Health & Wellness","Rebuy 
Northbeam 
Clarity 
Linktree 
Triple Whale 
Littledata 
Stamped 
Postscript 
PageFly 
Shopify 
Okendo 
Klaviyo 
FullStory 
Carro 
Survata 
Snowplow 
"
"Eight","https://www.1800d2c.com//brand/eight","Beverage","Linktree 
Shopify 
Klaviyo 
Netlify 
"
"Drink Aid","https://www.1800d2c.com//brand/drink-aid","Health & Wellness","Dovetale 
Triple Whale 
Littledata 
Stamped 
Shopify 
Klaviyo 
Segment 
"
"About Face","https://www.1800d2c.com//brand/about-face","Lifestyle","Better Replay 
Rebuy 
Paloma 
Searchanise 
Sendgrid 
Postscript 
AppHQ 
accessiBe 
Teads 
Returnly 
Okendo 
Hotjar 
Elevar 
GRIN 
Zonos 
JustUno 
Gorgias 
Foursixty 
ShoppingGives 
Shopify 
Klaviyo 
Outbrain 
Heading 
Klarna 
Lucky Orange 
"
"KYND","https://www.1800d2c.com//brand/kynd","Lifestyle","GemPages 
Shopify 
Heading 
"
"Haus Labs","https://www.1800d2c.com//brand/haus-labs","Personal Care","Videowise 
Flow Commerce 
Zendesk 
Shopify Plus 
Attentive 
Shopify 
Yotpo 
Okendo 
Foursixty 
Hotjar 
Klaviyo 
Klarna 
Elevar 
Heading 
"
"Son of a Tailor","https://www.1800d2c.com//brand/son-of-a-tailor","Apparel","Linktree 
Segment 
Unbounce 
"
"ELEMENTS","https://www.1800d2c.com//brand/elements","Health & Wellness","Bronto 
BlueCore 
Yotpo 
Shopify 
ShareASale 
Heading 
GRIN 
Swell Rewards 
Klaviyo 
"
"Floyd Home","https://www.1800d2c.com//brand/floyd-home","Home","Sendgrid 
Yotpo 
Attentive 
Elevar 
Mulberry 
Heap 
Shogun 
Typeform 
Zonos 
Tatari 
Friendbuy 
Shopify 
Klaviyo 
Ada Support 
Shopify Plus 
Kustomer 
Rise.ai 
Affirm 
Snowplow 
Lucky Orange 
"
"Cabi","https://www.1800d2c.com//brand/cabi","Food","Junip 
Social Snowball 
Heading 
WisePops 
WhatsApp 
Shopify 
Klaviyo 
Hubspot 
"
"Nori","https://www.1800d2c.com//brand/nori","Home","Unbounce 
Heading 
Shopify Plus 
Afterpay 
Shopify 
Klaviyo 
Okendo 
"
"Kite Beauty","https://www.1800d2c.com//brand/kite-beauty","Lifestyle","ShareASale 
Yotpo 
Heading 
Shopify 
Klaviyo 
"
"Gobi","https://www.1800d2c.com//brand/gobi","Apparel","Zonos 
Attentive 
Gorgias 
Shopify 
Yotpo 
Algolia 
Elevar 
Netlify 
Next.js 
Hubspot 
Swell Rewards 
"
"ION","https://www.1800d2c.com//brand/ion","Health & Wellness","Rebuy 
Linktree 
Triple Whale 
Heading 
Sendgrid 
Postscript 
Shopify 
Klaviyo 
Hubspot 
"
"Malbon Golf","https://www.1800d2c.com//brand/malbon-golf","Apparel","Rebuy 
Linktree 
Triple Whale 
Tapcart 
Gorgias 
Attentive 
Refersion 
Shopify 
Okendo 
Klarna 
Klaviyo 
"
"Mack Weldon","https://www.1800d2c.com//brand/mack-weldon","Apparel","Leap 
Toolio 
Quiet 3PF 
Backbone 
Paloma 
Sendgrid 
Yotpo 
Algolia 
Heading 
Pixel Union 
Heading 
Zendesk 
Attentive 
Pixelpop 
Hotjar 
Tatari 
Shopify 
Klaviyo 
Back in Stock 
Shopify Plus 
Optimizely 
Signifyd 
Snowplow 
Sailthru 
"
"Birdies","https://www.1800d2c.com//brand/birdies","Apparel","Junip 
Quiet 3PF 
Measured 
ChannelApe 
Searchanise 
WisePops 
Sendgrid 
Yotpo 
accessiBe 
Heading 
route 
Heading 
Teads 
Attentive 
Hotjar 
Elevar 
Friendbuy 
Tatari 
Foursixty 
Podsights 
Shopify 
Klaviyo 
Gladly 
Outbrain 
SteelHouse 
Back in Stock 
Heading 
Unbounce 
Rise.ai 
Affirm 
FullStory 
Snowplow 
GRIN 
"
"Flamingo Estate","https://www.1800d2c.com//brand/flamingo-estate","Personal Care","Northbeam 
Inveterate 
Rebuy 
Mention Me 
Heading 
Teads 
Attentive 
Okendo 
Mixpanel 
Hotjar 
pushowl 
Gorgias 
Shopify 
Klaviyo 
Outbrain 
Afterpay 
FullStory 
Heading 
Snowplow 
"
